"","faretype","cashlove","purpose","income","vehicle","number_of_trips"
"84","ORCA e-purse","0","Home Based Non-Work Trip","medium_high","1",1
"85","ORCA, as pass","0","Home Based Work Trip","lowest","1",41
"86","U-PASS ORCA","0","Home Based Work Trip","medium_low","1",25
"87","ORCA, as pass","0","Home Based Work Trip","medium_high","0",50
"88","ORCA, as pass","0","Home Based Work Trip","medium_low","0",60
"89","ORCA, as pass","0","Home Based Work Trip","highest","1",40
"90","ORCA, as pass","0","Home Based Work Trip","highest","1",40
"91","ORCA e-purse","0","Home Based Non-Work Trip","highest","1",15
"92","ORCA, as pass","0","Home Based Non-Work Trip","highest","1",50
"93","ORCA, as pass","0","Home Based Work Trip","highest","1",20
"94","ORCA, as pass","0","Home Based Work Trip","medium_low","1",20
"95","ORCA, as pass","0","Home Based Work Trip","medium_low","1",30
"96","ORCA, as pass","0","Home Based Non-Work Trip","highest","1",0
"97","U-PASS ORCA","0","Home Based Non-Work Trip","lowest","1",15
"98","U-PASS ORCA","0","Home Based Work Trip","medium_high","1",15
"99","ORCA e-purse","0","Home Based Work Trip","medium_low","0",48
"100","U-PASS ORCA","0","Home Based Work Trip","medium_low","1",20
"101","ORCA, as pass","0","Home Based Work Trip","medium_low","1",80
"102","ORCA, as pass","0","Home Based Work Trip","lowest","1",70
"103","ORCA, as pass","0","Home Based Work Trip","medium_low","1",30
"104","ORCA e-purse","0","Non-home based trip","lowest","0",70
"105","ORCA e-purse","0","Home Based Work Trip","highest","1",18
"106","ORCA, as pass","0","Home Based Work Trip","highest","1",20
"107","ORCA e-purse","0","Non-home based trip","highest","1",40
"108","ORCA e-purse","0","Non-home based trip","highest","1",0
"109","ORCA e-purse","0","Home Based Non-Work Trip","highest","1",12
"110","ORCA e-purse","0","Home Based Non-Work Trip","medium_high","1",20
"111","ORCA, as pass","0","Home Based Non-Work Trip","lowest","1",38
"112","ORCA, as pass","0","Home Based Work Trip","medium_low","1",33
"113","ORCA, as pass","0","Home Based Non-Work Trip","lowest","0",20
